Generation,BeakSize
0,8.441759181347111
0,8.027155627406321
0,7.950211658409834
0,7.8152643559899
0,8.268196273936573
0,8.127802649206753
0,8.209844454428916
0,7.881408653665708
0,8.323673545750358
0,7.812865618079136
0,8.407325087323281
0,8.042018438154876
0,7.995278912359275
0,7.881559808174514
0,8.373970939284092
0,7.759858602425673
0,8.407350950926004
0,8.492392440847539
0,8.362871841818748
0,8.064399251373334
0,8.18428931882716
0,7.994917862620357
0,8.361413040577087
0,8.214587622484986
0,8.732180039998273
0,7.945380197046184
0,8.10934802604519
0,8.38924408295307
0,7.93046507301329
0,8.242006799125003
0,8.24133444720895
0,7.947759122519751
0,8.801131695830465
0,8.420710312404855
0,8.143613671078752
0,8.116762832229762
0,7.986152202040783
0,8.2665706971689
0,8.42997412554616
0,8.294600918663614
1,8.10934802604519
1,8.407325087323281
1,8.268196273936573
1,8.209844454428916
1,7.995278912359275
1,8.242006799125003
1,8.362871841818748
1,8.420710312404855
1,8.2665706971689
1,8.441759181347111
1,7.986152202040783
1,8.214587622484986
1,8.143613671078752
1,7.947759122519751
1,8.127802649206753
1,8.492392440847539
1,8.801131695830465
1,8.042018438154876
1,7.8152643559899
1,8.361413040577087
1,7.759858602425673
1,8.294600918663614
1,8.18428931882716
1,8.24133444720895
1,7.881559808174514
1,8.323673545750358
1,7.945380197046184
1,7.994917862620357
1,8.308382213856998
1,8.463314951228393
1,8.084225235104586
1,9.090263032402065
1,8.423717661291963
1,8.53376085927457
1,7.761214035539364
1,8.265782490987634
1,8.50838046201748
1,7.92990088706245
1,8.347841844494694
1,8.021894346046873
1,8.93866490895472
1,8.392285746943726
1,8.931073450879747
1,7.337653391189153
1,7.766748734556311
2,8.441759181347111
2,8.801131695830465
2,7.881559808174514
2,8.93866490895472
2,8.209844454428916
2,8.463314951228393
2,7.986152202040783
2,7.945380197046184
2,7.759858602425673
2,8.50838046201748
2,8.021894346046873
2,8.392285746943726
2,8.10934802604519
2,7.766748734556311
2,7.994917862620357
2,8.143613671078752
2,8.731336861244703
2,7.9174832304008005
2,9.067386010342084
2,7.56444079884043
2,8.058511757622876
2,7.757441286078196
2,7.772091742052212
2,8.82863761237905
2,8.099223270922941
2,8.474297813353173
2,7.714497320482562
2,8.00727059563318
2,8.468156855797178
2,7.766105423657846
2,7.900788334395184
3,7.766748734556311
3,7.945380197046184
3,7.56444079884043
3,8.82863761237905
3,7.986152202040783
3,8.00727059563318
3,8.10934802604519
3,7.766105423657846
3,7.9174832304008005
3,7.714497320482562
3,7.994917862620357
3,8.209844454428916
3,8.93866490895472
3,9.067386010342084
3,8.392285746943726
3,8.143613671078752
3,8.021894346046873
3,8.463314951228393
3,8.058511757622876
3,7.772091742052212
3,8.50838046201748
3,8.468156855797178
3,8.474297813353173
3,7.757441286078196
3,8.099223270922941
3,7.900788334395184
3,9.235710525083416
3,7.344128478018661
3,7.483242634044041
3,8.41324878789396
3,8.011784547171574
3,7.676282619495596
3,7.605173378186796
3,8.349336949402097
3,8.414226039476222
3,8.789680377833825
3,8.360325285018575
3,8.313796025360165
3,8.148287506483033
3,8.279347596197466
