Generation,BeakSize
0,5.760058298651601
0,4.44899256180812
0,6.940578335804977
0,6.292031691666886
0,8.62411550188023
0,7.929991405982942
0,5.001959102518407
0,5.5096414343119795
0,4.090758909533165
0,3.0133195270279307
0,6.10768920649036
0,7.284167601282124
0,9.10402206735668
0,5.72571229610197
0,5.124466615483511
0,7.752579103946777
0,11.505363583728755
0,9.309143111476661
0,7.034482963232706
0,12.55072654505745
0,7.5825550997529705
0,4.622251809153569
0,5.554970395091892
0,8.78889293510166
0,5.605421683690802
0,8.290329572970744
0,5.184150871494898
0,7.157315010260093
0,6.356179868905942
0,5.984090554580938
0,5.95749541489876
0,7.605984999268967
0,9.175963934350296
0,4.953581723712245
0,9.685188474312167
0,6.523398456495662
0,9.950202810723622
0,7.678210294462075
0,6.4411998284755105
0,3.051295762273062
1,9.10402206735668
1,6.292031691666886
1,3.0133195270279307
1,4.44899256180812
1,9.175963934350296
1,4.090758909533165
1,7.034482963232706
1,7.752579103946777
1,8.78889293510166
1,7.5825550997529705
1,8.62411550188023
1,4.622251809153569
1,9.309143111476661
1,6.4411998284755105
1,7.605984999268967
1,6.940578335804977
1,7.929991405982942
1,7.678210294462075
1,3.051295762273062
1,9.685188474312167
1,6.523398456495662
1,7.284167601282124
1,8.290329572970744
1,7.157315010260093
1,8.681663309630308
1,3.552953228853666
1,9.641696654040032
1,4.804483684891517
1,6.268998824387979
1,9.237179837117658
1,8.836272672634783
1,6.6666191556767815
1,3.137990475392108
1,9.516303531365367
1,4.814070457346627
1,6.904997418088487
1,8.701801515993374
2,6.904997418088487
2,9.10402206735668
2,3.0133195270279307
2,6.268998824387979
2,9.309143111476661
2,6.940578335804977
2,9.237179837117658
2,4.622251809153569
2,7.034482963232706
2,8.62411550188023
2,7.157315010260093
2,4.090758909533165
2,8.681663309630308
2,8.836272672634783
2,8.701801515993374
2,4.814070457346627
2,7.284167601282124
2,9.175963934350296
2,6.523398456495662
2,3.051295762273062
2,9.516303531365367
2,6.6666191556767815
2,3.552953228853666
2,4.44899256180812
2,4.804483684891517
2,3.137990475392108
2,7.752579103946777
2,7.5825550997529705
2,8.45470021896551
2,8.787364667627248
2,8.386881623106476
2,8.227509646861037
2,8.938855921900348
2,7.151998653509077
2,7.270303091060756
2,9.028492922361957
2,7.9852306619178455
2,9.370409373782007
2,8.845774662936716
2,8.800307488895582
2,8.159731522455251
2,5.8626500548978395
2,4.829827399027719
2,7.918199507894658
2,8.468634133877575
2,8.252939690156662
2,3.551837326641807
3,3.0133195270279307
3,7.284167601282124
3,7.157315010260093
3,6.6666191556767815
3,9.309143111476661
3,8.800307488895582
3,3.051295762273062
3,8.62411550188023
3,8.681663309630308
3,8.938855921900348
3,4.622251809153569
3,8.836272672634783
3,7.918199507894658
3,9.028492922361957
3,8.701801515993374
3,8.252939690156662
