Generation,BeakSize
0,5.8205771377283595
0,6.110994285095275
0,5.254831241992365
0,4.978371063650593
0,4.886940702286883
0,5.697885593792059
0,6.010939906851464
0,6.505759582000862
0,6.323684123184307
0,4.686727337154547
0,5.565524527572314
0,5.578958593081071
0,6.02373410979287
0,5.694864481935568
0,5.925794084040312
0,5.347914470648959
0,6.057092318110459
0,5.385845295694615
0,6.003151674155688
0,6.144022896296947
0,5.20019717463104
0,4.894221301783018
0,5.339688117971718
0,5.333711368698148
0,5.784881510320481
0,5.279807123680431
0,5.505560760185352
0,4.988395138448829
0,6.000754298375438
0,4.491477198990517
0,5.251085211563946
0,5.875884676907587
0,5.7073347164272565
0,5.093078097605769
0,5.342368485445743
0,5.600822380369171
0,6.282266273774696
0,5.621534532362428
0,6.056811565611399
0,5.491727183844822
1,4.686727337154547
1,6.110994285095275
1,4.491477198990517
1,6.282266273774696
1,6.505759582000862
1,6.323684123184307
1,6.418940662842971
1,4.56733924665503
1,6.011768581008745
2,6.110994285095275
2,6.505759582000862
2,4.56733924665503
2,6.323684123184307
2,4.686727337154547
2,6.418940662842971
2,5.600861318441436
3,6.323684123184307
3,6.110994285095275
3,6.418940662842971
3,6.505759582000862
3,4.56733924665503
3,6.462029110679438
4,6.505759582000862
4,6.323684123184307
4,6.462029110679438
4,4.56733924665503
4,6.418940662842971
4,6.447484206274723
5,6.447484206274723
5,6.462029110679438
5,6.654291486989349
5,5.820723145263868
6,6.654291486989349
6,6.462029110679438
6,6.447484206274723
7,6.654291486989349
7,6.447484206274723
8,6.654291486989349
