Generation,BeakSize
0,8.40323430430668
0,7.405080476649236
0,4.271121016235051
0,8.704086872257534
0,7.495553307345919
0,7.414249163528986
0,1.8883508140905385
0,4.409788278604014
0,7.843642899013909
0,4.295349380231068
0,7.045699125530708
0,7.608763656554957
0,7.07955101333837
0,7.731698604711128
0,5.080089275386199
0,7.974344310582367
0,5.683062129948875
0,5.147349746974864
0,8.673191989843906
0,4.6702737435345725
0,8.592519979737041
0,0.9198815560949165
0,6.912140701639867
0,4.93774421066382
0,13.076943557360272
0,5.335095414614427
0,8.272871157085081
0,11.739482878651561
0,4.015785663291127
0,6.368385254106852
0,5.293178285664666
0,6.098501284058017
0,8.474028126400698
0,4.772072578473492
0,7.286914789049526
0,8.956263582637805
0,12.029537343005119
0,9.664350249964341
0,4.65989649991342
0,6.887252068656699
1,8.704086872257534
1,9.664350249964341
1,7.974344310582367
1,7.286914789049526
1,4.295349380231068
1,7.608763656554957
1,7.495553307345919
1,7.414249163528986
1,7.731698604711128
1,8.673191989843906
1,8.956263582637805
1,6.368385254106852
1,8.40323430430668
1,7.405080476649236
1,6.912140701639867
1,7.07955101333837
1,8.272871157085081
1,4.271121016235051
1,6.887252068656699
1,4.015785663291127
1,7.843642899013909
1,7.045699125530708
1,4.6702737435345725
1,4.772072578473492
1,8.592519979737041
1,8.474028126400698
1,9.726338860456922
1,7.940801836875683
1,8.1687314303276
1,7.781376639528298
1,8.918293894538706
1,9.208689132122483
1,8.20797679087686
1,6.2882548271780285
1,7.904200322469978
1,6.9707848645157755
1,8.508892943684959
1,4.8117446999604
1,4.961545852843425
1,1.8730716708458024
1,4.244771790733187
2,6.9707848645157755
2,7.286914789049526
2,6.887252068656699
2,7.495553307345919
2,7.405080476649236
2,1.8730716708458024
2,7.843642899013909
2,6.912140701639867
2,4.015785663291127
2,7.904200322469978
2,8.918293894538706
2,7.940801836875683
2,7.07955101333837
2,9.208689132122483
2,8.40323430430668
2,7.781376639528298
2,4.772072578473492
2,8.272871157085081
2,4.244771790733187
2,7.045699125530708
2,8.592519979737041
2,8.704086872257534
2,9.726338860456922
2,8.20797679087686
2,8.508892943684959
2,8.1687314303276
2,7.565432195452912
2,7.132207421317865
2,7.651160678247089
2,8.653421078238074
2,3.1389276359705214
2,6.97246372631489
2,6.8176462975154895
2,6.421408637815732
2,8.721292067407704
2,7.7819109539518045
2,8.284738322765678
2,9.089497335484724
2,8.255960547848627
2,7.324915328729439
2,9.424052384049231
2,7.831163518537386
2,8.217743829871909
2,8.022350900939735
2,7.04153155610052
3,6.8176462975154895
3,7.324915328729439
3,7.651160678247089
3,8.918293894538706
3,4.772072578473492
3,9.208689132122483
3,7.940801836875683
3,8.022350900939735
3,7.831163518537386
3,6.97246372631489
3,8.20797679087686
3,1.8730716708458024
3,7.565432195452912
3,6.912140701639867
3,9.424052384049231
3,8.255960547848627
3,8.217743829871909
3,4.244771790733187
3,7.7819109539518045
3,7.286914789049526
3,8.508892943684959
3,8.1687314303276
3,8.272871157085081
3,7.132207421317865
3,7.495553307345919
3,8.721292067407704
3,3.1389276359705214
3,7.904200322469978
3,7.04153155610052
3,7.843642899013909
3,7.901610317343507
3,8.485193599892066
3,9.165123566284217
3,7.452454674761855
3,7.816433566303322
3,2.818045555331086
3,8.14087055417085
3,8.32010922210455
3,7.340146217130696
3,8.509005575365038
3,3.4457977229687695
3,7.945017102204286
3,6.933852136252786
3,8.977173515460619
3,8.342120575118264
3,7.127761198840888
3,8.49489106941092
3,8.960126093275054
3,7.84819901340109
4,6.97246372631489
4,7.831163518537386
4,2.818045555331086
4,7.324915328729439
4,6.8176462975154895
4,8.918293894538706
4,7.901610317343507
4,7.127761198840888
4,8.022350900939735
4,7.565432195452912
4,9.208689132122483
4,3.4457977229687695
4,1.8730716708458024
4,8.14087055417085
4,7.452454674761855
4,3.1389276359705214
4,8.20797679087686
4,7.940801836875683
4,8.485193599892066
4,8.509005575365038
4,7.7819109539518045
4,4.244771790733187
4,7.845979519727665
4,3.6911584870890515
4,7.367878212272011
4,7.946681938495659
4,9.181048208251635
4,8.068871235104387
4,9.259137278048128
4,3.4197793565677075
4,5.599079941990559
4,3.1247426980549164
4,8.860433466863288
4,6.974795016617449
4,4.411385381491499
5,4.411385381491499
5,7.324915328729439
5,8.509005575365038
5,8.485193599892066
5,8.860433466863288
5,7.127761198840888
5,2.818045555331086
